Nome,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
ALAN HENRIQUE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ALAN JOSÉ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ALAN LUIS,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ALAN PATRIK,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ALAN VILKER,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ALANA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ALANA KETILLYN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ALANA MAYARA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALANA ROMEIRO,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ALANIS LUNA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALANNA GABRIELLY,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALANNA LUANA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ALANNA VITÓRIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ALANY ROCIO,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ALBERTO ROBLEDO,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ALBERTY CAUÃ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ALCE PRÉPE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ALCINEIDE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALDAIR JOSÉ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ALDREY GABRIEL,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALDRIANE EMANUELA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ALEANDRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ALECSANDRO OLIVEIRA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ALEF OLIVEIRA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALEFFER BARROS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ALEIX JUNIOR,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALEJANDRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ALEJANDRO SANZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ALEQUISSANDRA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALERRADRO CRISTIAN,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALERRANDRO FREITAS,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALESSANDRA CARLOS,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALESSANDRA RAIANE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ALESSANDRO,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ALESSANDRO CELLI,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ALESSANDRO HENRIQUE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ALESSANDRO JAN,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALESSANDRO ROBERTO,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ALESSIA COLANGELO,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ALETHEA HELENA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ALEX ADRIANO,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ALEX CARLOS,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ALEX CLAUDINO,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALEX CORONEL,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ALEX DANIEL,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ALEX LEANDRO,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ALEX MARTINEZ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ALEX MICHAEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ALEX WILLIAM,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ALEXANDER,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALEXANDRA CASTELÃO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ALEXANDRA CATALINA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ALEXANDRA GABRIELLA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ALEXANDRA TEREZINHA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALEXANDRE,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0
ALEXANDRE CANDIDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ALEXANDRE KAUÃ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ALEXANDRE PIRES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ALEXANDRE POGIOL,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALEXANDRE TOMICHA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ALEXANDRE VILHALVA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ALEXANDRO FLEXA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALEXI DANILO,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ALEXIA BEATRIZ,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
ALEXIA RAYNARA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALEXIA VICTORIA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALEXIS MATHIAS,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALEXISSANDER ADRYAN,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ALEXSANDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ALEXSANDER MATEUS,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ALEXSANDRO,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
ALEXSANDRO MARTINEZ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ALEXSY GRÉGORIE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ALICE,15637,18758,21954,22084,23192,6262,12233,8617,7503,6715,99,6,8,2,3
ALICE ALMEIDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ALICE BICHARA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALICE COSTA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ALICE DELMIRO,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALICE FARIAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ALICE GABRIELLY,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
ALICE GAMA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ALICE JENMI,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALICE KELLEN,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALICE LEAL,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ALICE LOUÍSE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ALICE MARIAN,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALICE MARINA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALICE MENDONÇA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALICE MORETTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ALICE REBECA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ALICE ROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ALICE SOFIA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ALICE TAUANE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ALICE VILANOVA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ALICE VITORIA,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ALICE VITÓRIA,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
ALICIA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALICIA CAROLINE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ALICIA GIOVANA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ALICIA KATRINA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALICY VITÓRIA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALINE,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
ALINE KARLA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ALINE MAIARA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ALINE SEVERIANO,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALINE SLOVINSKI,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ALINE VITORIA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ALINE VITÓRIA,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
ALINNE VICTORIA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ALISON EDUARDO,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ALISSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ALISSON ALEXANDRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ALISSON CHARLES,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ALISSON GABRIEL,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ALISSON GONSALVES,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ALISSON GREGORY,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ALISSON HENRIQUE,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
ALISSON JONATHAS,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALISSON ROMEIRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ALIX HABRIELLE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ALLAN DAVI,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ALLAN TALLES,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALLANA BEATRIZ,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
ALLANA BORATO,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ALLANA VITÓRIA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ALLANE MIKAELY,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ALLEX,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALLICIA COSTA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ALLYSON JULIO,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ALLYSON KAUA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ALLYSON KELVIN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ALMIR ENDRIO,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ALTINA PEMORIWÊ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALVARO FELIPE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ALVARO LEONARDO,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ALYCE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ALYCIA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALYSSON AMARILHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ALYSSON DOUGLAS,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ALÍCIA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
ALÍCIA GEOVANA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALÍCIA TREMÉA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AMABILI MAFRA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AMADEU RICARTE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AMADEUS ELLICOTT,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AMANDA,0,0,0,0,0,0,11,0,0,0,2,1,2,0,0
AMANDA AQUILINO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AMANDA ARAÚJO,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AMANDA BEATRIZ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AMANDA CLARA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AMANDA EMANUELY,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AMANDA GABRIELLE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AMANDA GONÇALVES,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
AMANDA HISUI,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AMANDA JHENNIFER,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AMANDA KAROLAYNE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AMANDA KAROLINE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AMANDA LETICE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AMANDA MARIA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AMANDA MICAELA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AMANDA RINALDI,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AMANDA SIMÕES,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AMANDA THAISSA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AMANDA VICTÓRIA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AMANDA VITORIA,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
AMANDA VITÓRIA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
AMANDA YURI,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AMAURI CRISTIANO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AMIR ISIDRO,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AMORA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AMUTU KALAPALO,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AMYLLE KRISTEN,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
ANA ALICE,0,0,0,0,0,0,0,0,36,9,1,0,2,3,0
ANA BARCELÓ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ANA BEATRIS,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
ANA BEATRIZ,0,0,228,666,526,4056,4733,4300,4638,5545,246,36,20,14,15
ANA BIATRIS,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ANA BROUWINSTYN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ANA BRUNA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ANA CAMILI,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ANA CARLA,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
ANA CAROLAINE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ANA CAROLINA,0,0,0,0,0,0,0,0,0,0,4,8,6,11,7
ANA CAROLINE,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1
ANA CECILIA,819,768,375,377,341,1813,0,37,22,23,4,0,1,1,2
ANA CECILYA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ANA CECÍLIA,0,0,0,0,0,0,629,204,144,91,3,0,0,0,2
ANA CLARA,178,749,1285,1506,4215,8452,11059,6596,7673,9168,393,37,50,33,33
ANA CLAUDIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ANA CRISTINA,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0
ANA CÁSSIA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ANA ELIZABETH,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ANA ELOÍSA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ANA EMANUELLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ANA EMANUELLY,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ANA EMILLY,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ANA ESTEFANY,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ANA FELÍCIA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ANA FERNANDA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ANA FLAVIA,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0
ANA FLORA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ANA FLÁVIA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ANA FRANCISCA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ANA GABRIELA,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1
ANA GABRIELE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ANA GABRIELI,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ANA GABRIELLA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ANA GABRIELLY,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
ANA GIZELE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ANA GLORIA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ANA GRAZYELE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ANA HELLOÍZA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ANA HELOÍSA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ANA ISABEL,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ANA ISABELA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ANA ISABELE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ANA ISABELLA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ANA ISABELY,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ANA JAMILY,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ANA JHENIFER,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ANA JHULYA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ANA JULHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ANA JULIA,58,1598,2759,4004,4201,8232,1912,3542,4251,4203,165,23,21,12,1
ANA JÚLIA,0,0,0,0,0,0,6205,3592,3700,4556,119,20,14,9,7
ANA KARLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ANA KARLIANE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ANA KAROLAYNNE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ANA KAROLINE,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1
ANA KAROLLYNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ANA KAYAME,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ANA KELI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ANA KELLY,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
ANA KEMILY,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ANA KETELLEN,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
ANA KETLEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ANA LARA,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0
ANA LAURA,1139,2526,1430,1361,2436,5246,4910,3206,3126,3225,74,7,8,5,2
ANA LAVINE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ANA LETICIA,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
ANA LETICYA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ANA LETÍCIA,0,0,0,0,0,0,0,0,0,6,7,3,1,0,0
ANA LIS,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0
ANA LIVIA,0,0,0,0,83,1163,0,28,0,0,0,2,3,0,1
ANA LIZ,3878,3537,1337,809,405,361,0,0,0,0,0,0,1,0,0
ANA LORENA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ANA LOUISA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ANA LUCIA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ANA LUISA,0,0,0,0,0,202,0,0,0,0,0,1,0,0,1
ANA LUIZA,0,0,0,0,276,4342,5173,3559,3446,4432,173,7,7,6,3
ANA LUIZE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ANA LUÍSA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ANA LUÍZA,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
ANA LÍVIA,0,0,0,0,0,0,0,172,156,96,4,2,0,1,0
ANA LÚCIA,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ANA MAITE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ANA MARIA,0,0,0,0,0,0,0,0,0,0,1,7,1,1,0
ANA MARTINEZ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ANA MEL,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
ANA MELISSA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ANA MONIQUE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ANA NICOLLE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ANA PATRICIA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ANA PAULA,0,0,0,0,0,15,0,5,0,27,16,5,4,2,4
ANA PELEGRINI,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ANA QUESSIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ANA QUEZIA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ANA QUÉZIA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ANA RAELY,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ANA RAFAELA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ANA RAIANE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ANA RAQUEL,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
ANA RILLARY,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ANA RUBÍ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ANA RUTH,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
ANA SOFIA,0,0,0,0,0,145,175,204,144,130,18,1,1,0,0
ANA SOPHIA,0,0,0,0,0,766,533,699,801,421,39,3,0,0,0
ANA SUELLY,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ANA TAINAR,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ANA TALITA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ANA TATIELLY,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ANA TAYLA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
