Nome,total,percentage,total_2024,total_2023,total_2022,total_2021,total_2020,total_2019,total_2018,total_2017,total_2016,total_2015,total_2014,total_2013,total_2012,total_2011,total_2010
MARIA CECILIA,73967.0,1.4696091301059167,15578.0,15396.0,10681.0,9065.0,7981.0,9413.0,2123.0,1835.0,1510.0,344.0,34.0,0.0,4.0,0.0,3.0
SOPHIA,69411.0,1.3790885033836953,5434.0,7711.0,8296.0,9833.0,10617.0,2570.0,6360.0,5796.0,6614.0,6002.0,159.0,14.0,4.0,1.0,0.0
RAVI,68766.0,1.3662733575900532,21414.0,17744.0,15825.0,11059.0,2724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARIA LUIZA,68116.0,1.3533588695809566,2484.0,4746.0,6180.0,7490.0,7994.0,9132.0,9340.0,6492.0,7097.0,6870.0,248.0,11.0,11.0,13.0,8.0
PEDRO,67678.0,1.3446564915071346,10072.0,10996.0,10833.0,10715.0,11926.0,2731.0,3272.0,2485.0,2237.0,2366.0,30.0,2.0,6.0,4.0,3.0
CECILIA,67131.0,1.3337884531364026,19389.0,15679.0,11898.0,9469.0,8930.0,1293.0,0.0,473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LORENZO,66096.0,1.3132246145373025,5231.0,8524.0,9605.0,10816.0,11650.0,3432.0,8086.0,4440.0,2703.0,1606.0,0.0,3.0,0.0,0.0,0.0
HELOISA,64763.0,1.2867399798971093,9523.0,10604.0,11475.0,11728.0,13680.0,3087.0,1178.0,1191.0,1139.0,1153.0,5.0,0.0,0.0,0.0,0.0
MARIA JULIA,63354.0,1.2587453435820062,7356.0,9544.0,9879.0,10625.0,10912.0,9221.0,1709.0,1757.0,1693.0,636.0,14.0,2.0,4.0,1.0,1.0
NOAH,62853.0,1.2487912535934562,17779.0,15985.0,14000.0,10479.0,4610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAITE,59974.0,1.191590005934704,18040.0,14817.0,11806.0,9910.0,5093.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUCAS,54304.0,1.0789359336092,5940.0,6245.0,7467.0,8023.0,10280.0,2370.0,3969.0,2839.0,3118.0,3939.0,59.0,13.0,21.0,3.0,18.0
BENICIO,52968.0,1.052391693639734,12852.0,11145.0,10051.0,9472.0,9363.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANA CLARA,51427.0,1.0217744228366294,178.0,749.0,1285.0,1506.0,4215.0,8452.0,11059.0,6596.0,7673.0,9168.0,393.0,37.0,50.0,33.0,33.0
ANTHONY,51424.0,1.0217148175073567,13580.0,15168.0,10463.0,6623.0,5579.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JOÃO MIGUEL,45691.0,0.907809033267125,0.0,0.0,0.0,0.0,0.0,0.0,16049.0,9884.0,11023.0,8273.0,406.0,50.0,3.0,0.0,3.0
MANUELA,43259.0,0.8594889796700129,4925.0,4938.0,6190.0,7197.0,9162.0,2443.0,3806.0,1660.0,1465.0,1462.0,9.0,1.0,0.0,0.0,1.0
ISAAC,42772.0,0.8498130478847361,9483.0,9015.0,9578.0,8286.0,5726.0,0.0,643.0,34.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0
LORENA,42754.0,0.8494554159090996,2446.0,3142.0,4907.0,7579.0,9568.0,1893.0,5077.0,3358.0,2562.0,2185.0,36.0,0.0,0.0,0.0,1.0
ANTONELLA,41343.0,0.8214210427078145,9520.0,9372.0,7024.0,6936.0,7268.0,962.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JULIA,40571.0,0.806082604641626,4560.0,6242.0,7986.0,8717.0,8916.0,2574.0,0.0,628.0,640.0,245.0,56.0,3.0,1.0,2.0,1.0
DAVI LUCAS,39964.0,0.7940224596854388,767.0,387.0,715.0,1091.0,3198.0,6231.0,7728.0,5387.0,6264.0,7833.0,327.0,28.0,7.0,0.0,1.0
ISABELLA,38694.0,0.7687895369599732,2016.0,3878.0,3668.0,5177.0,9045.0,1480.0,4265.0,3386.0,3161.0,2599.0,11.0,8.0,0.0,0.0,0.0
LIZ,37516.0,0.7453845109988722,9076.0,9362.0,8097.0,5751.0,5143.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARIA HELENA,37376.0,0.7426029289661437,6536.0,6544.0,5301.0,4179.0,3280.0,5431.0,3593.0,1259.0,797.0,443.0,11.0,2.0,0.0,0.0,0.0
ANA JULIA,34982.0,0.6950378762064864,58.0,1598.0,2759.0,4004.0,4201.0,8232.0,1912.0,3542.0,4251.0,4203.0,165.0,23.0,21.0,12.0,1.0
RAFAEL,34437.0,0.6842095747219361,4349.0,4431.0,4003.0,5261.0,6189.0,549.0,2373.0,1809.0,2343.0,3060.0,44.0,13.0,7.0,3.0,3.0
GUILHERME,33076.0,0.657168623675197,504.0,2149.0,3104.0,5778.0,7440.0,737.0,3832.0,2739.0,2774.0,3899.0,91.0,14.0,9.0,5.0,1.0
JOAQUIM,32851.0,0.6526982239797405,6673.0,7129.0,5648.0,5411.0,5743.0,1250.0,646.0,225.0,125.0,0.0,0.0,1.0,0.0,0.0,0.0
DAVI LUCCA,32541.0,0.6465390066215561,1895.0,2735.0,1874.0,685.0,2138.0,5754.0,6098.0,4381.0,3797.0,3120.0,61.0,3.0,0.0,0.0,0.0
LIVIA,30472.0,0.6054311978664472,4765.0,4718.0,4768.0,6177.0,7638.0,2403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
JOÃO PEDRO,30185.0,0.5997289546993536,0.0,0.0,0.0,0.0,0.0,0.0,9472.0,5638.0,6178.0,8474.0,311.0,36.0,31.0,25.0,20.0
JOAO PEDRO,30058.0,0.5972056624268072,2847.0,3837.0,3576.0,4174.0,4270.0,8372.0,72.0,1324.0,1383.0,164.0,28.0,0.0,5.0,5.0,1.0
ISIS,29791.0,0.5919007881215321,9778.0,7940.0,7499.0,4538.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JOÃO LUCAS,29659.0,0.589278153633531,0.0,0.0,0.0,0.0,0.0,0.0,7177.0,4322.0,5202.0,12573.0,375.0,2.0,2.0,3.0,3.0
HENRIQUE,29448.0,0.5850859121413473,3492.0,3810.0,5793.0,5446.0,6157.0,1081.0,2592.0,738.0,202.0,129.0,4.0,0.0,2.0,0.0,2.0
MATHEUS,28764.0,0.5714958970671595,90.0,2425.0,2671.0,5686.0,6087.0,1146.0,2319.0,2560.0,2743.0,2913.0,96.0,9.0,5.0,11.0,3.0
ANA LAURA,28701.0,0.5702441851524317,1139.0,2526.0,1430.0,1361.0,2436.0,5246.0,4910.0,3206.0,3126.0,3225.0,74.0,7.0,8.0,5.0,2.0
ELOA,27101.0,0.5384546762069632,4304.0,5233.0,3880.0,6065.0,7619.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AURORA,27080.0,0.5380374389020539,12329.0,8299.0,4545.0,978.0,625.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JOAO LUCAS,25554.0,0.5077181947453134,2042.0,2773.0,3979.0,3556.0,3452.0,6244.0,62.0,1394.0,1722.0,304.0,22.0,0.0,3.0,0.0,1.0
ANA BEATRIZ,25023.0,0.4971680514640361,0.0,0.0,228.0,666.0,526.0,4056.0,4733.0,4300.0,4638.0,5545.0,246.0,36.0,20.0,14.0,15.0
ELISA,21714.0,0.431423373276189,2928.0,3816.0,3783.0,7410.0,3300.0,99.0,178.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANA LUIZA,21424.0,0.4256615247798229,0.0,0.0,0.0,0.0,276.0,4342.0,5173.0,3559.0,3446.0,4432.0,173.0,7.0,7.0,6.0,3.0
LEVI,21286.0,0.4229196796332762,8066.0,7084.0,2759.0,1726.0,1175.0,0.0,313.0,91.0,65.0,0.0,4.0,0.0,1.0,1.0,1.0
MANUELLA,20700.0,0.41127677198199836,0.0,0.0,2764.0,3775.0,5489.0,1628.0,2789.0,1464.0,1475.0,1316.0,0.0,0.0,0.0,0.0,0.0
ISADORA,19497.0,0.3873750349436243,2270.0,1672.0,2457.0,2964.0,4918.0,1186.0,1327.0,720.0,686.0,1269.0,22.0,3.0,3.0,0.0,0.0
SOFIA,19091.0,0.3793084470487117,1465.0,1607.0,1500.0,3109.0,2960.0,501.0,1085.0,1571.0,2727.0,2513.0,40.0,5.0,7.0,1.0,0.0
MAYA,18480.0,0.3671688283201609,4985.0,5011.0,4591.0,3893.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANA JÚLIA,18222.0,0.3620427700027041,0.0,0.0,0.0,0.0,0.0,0.0,6205.0,3592.0,3700.0,4556.0,119.0,20.0,14.0,9.0,7.0
MARIA VITORIA,17091.0,0.33957156086687607,690.0,1203.0,1574.0,2430.0,2099.0,5860.0,1047.0,895.0,1070.0,166.0,34.0,15.0,2.0,1.0,5.0
GUSTAVO,16881.0,0.33539918781778333,0.0,0.0,277.0,173.0,5156.0,504.0,2452.0,2253.0,2741.0,3198.0,96.0,6.0,10.0,9.0,6.0
MARIA VALENTINA,16792.0,0.3336308963826916,732.0,1123.0,1334.0,2182.0,2051.0,2872.0,3098.0,1707.0,1285.0,403.0,5.0,0.0,0.0,0.0,0.0
MARIA FERNANDA,16099.0,0.3198620653206856,0.0,0.0,0.0,0.0,0.0,1969.0,3785.0,3000.0,3374.0,3845.0,92.0,10.0,14.0,6.0,4.0
ARTHUR MIGUEL,15969.0,0.31727916771886633,0.0,150.0,603.0,1199.0,929.0,4503.0,4226.0,2785.0,1394.0,173.0,5.0,1.0,1.0,0.0,0.0
NICOLAS,15946.0,0.3168221935277752,2626.0,1225.0,4407.0,2737.0,4580.0,252.0,0.0,98.0,0.0,7.0,6.0,2.0,3.0,1.0,2.0
JOAO GUILHERME,15717.0,0.312272320059955,1035.0,2115.0,2552.0,2347.0,2693.0,4430.0,172.0,191.0,117.0,65.0,0.0,0.0,0.0,0.0,0.0
BENJAMIN,15626.0,0.3104642917386815,1284.0,2185.0,2567.0,3923.0,4655.0,271.0,639.0,95.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
MARIA VITÓRIA,14771.0,0.2934767728959468,0.0,0.0,0.0,0.0,0.0,0.0,7269.0,2067.0,2389.0,2812.0,150.0,16.0,24.0,20.0,24.0
ENZO,14750.0,0.29305953559103753,0.0,0.0,0.0,1449.0,2409.0,362.0,2596.0,2885.0,2609.0,2360.0,71.0,5.0,2.0,0.0,2.0
LEONARDO,14396.0,0.2860261067368526,2704.0,2574.0,2947.0,2641.0,3232.0,272.0,0.0,0.0,0.0,0.0,9.0,5.0,5.0,4.0,3.0
DANIEL,14153.0,0.2811980750657596,702.0,881.0,1069.0,2339.0,3386.0,55.0,1449.0,627.0,1144.0,2361.0,104.0,7.0,7.0,9.0,13.0
HENRY,13635.0,0.2709062215446642,3449.0,3622.0,3860.0,2704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARIA JÚLIA,13558.0,0.2693763514266635,0.0,0.0,0.0,0.0,0.0,0.0,6556.0,3879.0,2103.0,975.0,36.0,4.0,5.0,0.0,0.0
MARIA ISIS,13122.0,0.26071371023902334,2866.0,3047.0,3404.0,1779.0,600.0,688.0,292.0,178.0,107.0,161.0,0.0,0.0,0.0,0.0,0.0
LARA,12998.0,0.25825002329574953,2780.0,3053.0,4542.0,988.0,1268.0,0.0,0.0,112.0,97.0,151.0,0.0,1.0,0.0,0.0,6.0
MARIA CECÍLIA,12204.0,0.24247447948156078,0.0,0.0,0.0,0.0,0.0,0.0,6459.0,2254.0,1662.0,1731.0,90.0,4.0,3.0,1.0,0.0
ANTHONY GABRIEL,11439.0,0.22727512051700866,3431.0,3082.0,688.0,570.0,380.0,1799.0,856.0,475.0,90.0,67.0,0.0,0.0,1.0,0.0,0.0
EMANUELLY,11032.0,0.21918866417900512,56.0,0.0,473.0,725.0,1136.0,104.0,3539.0,2152.0,1966.0,824.0,54.0,2.0,1.0,0.0,0.0
MARIA LIZ,10795.0,0.21447984316645763,2793.0,3423.0,2989.0,918.0,399.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANA LIZ,10328.0,0.20520128024299902,3878.0,3537.0,1337.0,809.0,405.0,361.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
JOÃO GABRIEL,10108.0,0.20083022276299708,0.0,0.0,0.0,0.0,0.0,0.0,4239.0,1819.0,1780.0,2151.0,86.0,8.0,16.0,2.0,7.0
LUCAS GABRIEL,10057.0,0.19981693216536028,0.0,0.0,112.0,484.0,678.0,2187.0,1634.0,1402.0,1781.0,1626.0,134.0,10.0,4.0,5.0,0.0
JOAO GABRIEL,9861.0,0.1959227173195404,320.0,361.0,422.0,942.0,1239.0,4674.0,77.0,853.0,857.0,109.0,6.0,0.0,0.0,0.0,1.0
PEDRO LUCAS,9782.0,0.19435311031535787,0.0,0.0,0.0,259.0,655.0,2203.0,2540.0,1246.0,1201.0,1604.0,56.0,6.0,5.0,3.0,4.0
MIGUEL HENRIQUE,9547.0,0.1896840261889922,0.0,0.0,0.0,0.0,0.0,1838.0,2120.0,1895.0,1909.0,1733.0,52.0,0.0,0.0,0.0,0.0
MARIA LAURA,9307.0,0.18491559984717193,868.0,1116.0,1031.0,1157.0,1066.0,1253.0,1004.0,610.0,663.0,526.0,10.0,3.0,0.0,0.0,0.0
DAVI LUIZ,9136.0,0.18151809607862499,0.0,0.0,0.0,0.0,0.0,646.0,909.0,866.0,1610.0,4817.0,277.0,2.0,6.0,1.0,2.0
LUCCA,8734.0,0.17353098195607602,3539.0,2910.0,2284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ARTHUR GABRIEL,8707.0,0.17299453399262124,0.0,0.0,0.0,554.0,1076.0,2476.0,2374.0,1029.0,866.0,292.0,36.0,2.0,2.0,0.0,0.0
MARIA HELOISA,8633.0,0.17152426920389333,1057.0,1245.0,1222.0,1565.0,1345.0,1858.0,117.0,102.0,68.0,50.0,4.0,0.0,0.0,0.0,0.0
MELISSA,8591.0,0.1706897945940748,4524.0,1490.0,632.0,691.0,676.0,0.0,345.0,100.0,79.0,49.0,0.0,2.0,3.0,0.0,0.0
FELIPE,8510.0,0.16908045070371044,0.0,0.0,498.0,2400.0,2919.0,336.0,0.0,1189.0,1117.0,23.0,10.0,3.0,5.0,5.0,5.0
MATTEO,8241.0,0.16373583951225357,5479.0,2762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AYLA,8203.0,0.16298083867479868,5076.0,1663.0,1086.0,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VICENTE,7997.0,0.1588879393980696,2389.0,1229.0,1291.0,1039.0,1144.0,650.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JOÃO GUILHERME,7964.0,0.15823228077606932,0.0,0.0,0.0,0.0,0.0,0.0,4077.0,2233.0,1066.0,539.0,38.0,7.0,0.0,1.0,3.0
BEATRIZ,7934.0,0.1576362274833418,0.0,814.0,949.0,1531.0,1469.0,0.0,0.0,278.0,1135.0,1697.0,34.0,8.0,4.0,7.0,8.0
EMANUEL,7786.0,0.15469569790588597,1510.0,2081.0,1004.0,996.0,1822.0,0.0,229.0,43.0,81.0,9.0,3.0,2.0,4.0,2.0,0.0
MURILO,7765.0,0.1542784606009767,1584.0,1876.0,1818.0,830.0,876.0,326.0,399.0,17.0,32.0,0.0,6.0,0.0,0.0,0.0,1.0
JOSE MIGUEL,6858.0,0.13625778271751424,1019.0,1230.0,1067.0,1041.0,1083.0,1306.0,0.0,30.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0
LUIZ MIGUEL,6807.0,0.13524449211987744,77.0,89.0,188.0,0.0,183.0,1569.0,1548.0,1305.0,1095.0,655.0,90.0,5.0,0.0,1.0,2.0
LUISA,6528.0,0.12970119649751138,1719.0,1970.0,985.0,754.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARIA ELOA,6497.0,0.12908527476169293,1269.0,1195.0,1151.0,1211.0,867.0,804.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANA VITORIA,6293.0,0.1250321123711457,0.0,245.0,585.0,1304.0,1315.0,2715.0,0.0,52.0,21.0,29.0,13.0,5.0,5.0,3.0,1.0
OLIVIA,6180.0,0.12278697830187199,4358.0,1821.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MARIA,5705.0,0.11334946783368603,1671.0,1372.0,1199.0,530.0,183.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AYLLA,5541.0,0.11009104316677552,1564.0,1697.0,1717.0,563.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LÍVIA,5537.0,0.11001156939441184,0.0,0.0,0.0,0.0,0.0,0.0,2303.0,1655.0,1471.0,108.0,0.0,0.0,0.0,0.0,0.0
LUNA,5171.0,0.10273971922313593,3191.0,615.0,705.0,660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JOÃO VITOR,4853.0,0.09642155432022408,0.0,0.0,0.0,0.0,0.0,0.0,766.0,792.0,982.0,2140.0,129.0,14.0,14.0,10.0,6.0
CARLOS EDUARDO,4743.0,0.0942360255802231,0.0,0.0,0.0,0.0,0.0,556.0,646.0,416.0,869.0,2041.0,148.0,17.0,26.0,13.0,11.0
ANA CECILIA,4583.0,0.09105707468567627,819.0,768.0,375.0,377.0,341.0,1813.0,0.0,37.0,22.0,23.0,4.0,0.0,1.0,1.0,2.0
MARIANA,4475.0,0.08891128283185715,236.0,283.0,490.0,800.0,1346.0,0.0,525.0,248.0,218.0,307.0,4.0,0.0,4.0,6.0,8.0
HELOÍSA,4355.0,0.086527069660947,0.0,0.0,0.0,0.0,0.0,0.0,2587.0,1677.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0
JOSE,4092.0,0.08130166912803563,1538.0,1028.0,728.0,582.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARIA SOPHIA,4043.0,0.08032811541658065,0.0,0.0,0.0,0.0,114.0,572.0,796.0,818.0,1013.0,679.0,46.0,0.0,4.0,1.0,0.0
DAVI MIGUEL,3815.0,0.0757981103918514,0.0,0.0,0.0,0.0,0.0,557.0,494.0,638.0,1760.0,317.0,49.0,0.0,0.0,0.0,0.0
REBECA,3628.0,0.07208271153384976,98.0,954.0,1111.0,898.0,489.0,0.0,12.0,12.0,12.0,36.0,5.0,0.0,0.0,0.0,1.0
ELOAH,3616.0,0.07184429021675875,554.0,0.0,782.0,837.0,1443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTHUR HENRIQUE,3490.0,0.06934086638730312,0.0,0.0,0.0,0.0,0.0,1981.0,465.0,320.0,434.0,243.0,44.0,0.0,1.0,0.0,2.0
ANA VITÓRIA,3488.0,0.06930112950112127,0.0,0.0,0.0,0.0,0.0,0.0,1477.0,534.0,642.0,667.0,115.0,14.0,19.0,15.0,5.0
LUIZA,3402.0,0.06759244339530235,0.0,277.0,366.0,807.0,1395.0,538.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,2.0
LAVINIA,3317.0,0.06590362573257433,512.0,383.0,426.0,1130.0,612.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
ESTHER,3315.0,0.0658638888463925,287.0,472.0,811.0,1258.0,44.0,0.0,23.0,0.0,180.0,229.0,6.0,2.0,2.0,0.0,1.0
PIETRO,3283.0,0.06522809866748312,0.0,561.0,630.0,757.0,1328.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,1.0
BENJAMIM,3280.0,0.06516849333821037,552.0,362.0,808.0,718.0,730.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANA SOPHIA,3262.0,0.06481086136257386,0.0,0.0,0.0,0.0,0.0,766.0,533.0,699.0,801.0,421.0,39.0,3.0,0.0,0.0,0.0
BRYAN,3192.0,0.06342007034620961,0.0,635.0,637.0,751.0,763.0,0.0,401.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0
AGATHA,3070.0,0.06099612028911764,108.0,213.0,330.0,1743.0,674.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
MARIA LUISA,3049.0,0.06057888298420836,92.0,0.0,0.0,0.0,0.0,2934.0,0.0,17.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0
ISABELA,2731.0,0.054260718081296504,242.0,0.0,0.0,298.0,1198.0,448.0,45.0,240.0,137.0,113.0,0.0,3.0,4.0,3.0,0.0
JOSÉ MIGUEL,2516.0,0.04998900281674918,0.0,0.0,0.0,0.0,0.0,0.0,704.0,492.0,901.0,415.0,2.0,0.0,0.0,0.0,2.0
YASMIN,2505.0,0.04977044994274909,0.0,0.0,284.0,0.0,0.0,0.0,44.0,312.0,262.0,1553.0,40.0,3.0,4.0,3.0,0.0
THÉO,2453.0,0.048737290902021356,0.0,0.0,0.0,0.0,0.0,0.0,2452.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JADE,2347.0,0.04663123593438407,1734.0,612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MARIA FLOR,2335.0,0.046392814617293054,74.0,604.0,0.0,0.0,0.0,873.0,616.0,155.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
LUNNA,2314.0,0.04597557731238378,560.0,0.0,579.0,624.0,551.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VICTOR HUGO,2125.0,0.04222044156820032,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,171.0,1829.0,58.0,5.0,6.0,6.0,5.0
JÚLIA,2075.0,0.041227019413654434,0.0,0.0,0.0,0.0,0.0,0.0,491.0,531.0,228.0,816.0,3.0,1.0,4.0,1.0,0.0
PEDRO MIGUEL,1926.0,0.03826662139310768,0.0,0.0,0.0,0.0,0.0,323.0,312.0,461.0,414.0,392.0,22.0,0.0,2.0,0.0,0.0
RAVY,1731.0,0.0343922749903787,603.0,536.0,592.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENTO,1608.0,0.03194845649019582,1226.0,382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARIA ELISA,1575.0,0.031292797868195533,493.0,575.0,0.0,469.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JOÃO VICTOR,1547.0,0.03073648146164983,0.0,0.0,0.0,0.0,0.0,0.0,127.0,270.0,348.0,675.0,76.0,20.0,7.0,15.0,9.0
CECÍLIA,1475.0,0.029305953559103752,0.0,0.0,0.0,0.0,0.0,0.0,1023.0,360.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0
LAURA BEATRIZ,1458.0,0.02896819002655815,0.0,0.0,0.0,0.0,0.0,262.0,265.0,241.0,299.0,363.0,22.0,3.0,0.0,2.0,1.0
HEITOR GABRIEL,1405.0,0.027915162542739503,0.0,0.0,0.0,0.0,0.0,962.0,302.0,140.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ANA LIVIA,1280.0,0.02543160715637478,0.0,0.0,0.0,0.0,83.0,1163.0,0.0,28.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0
AYLLA SOPHIA,1193.0,0.02370305260746493,451.0,387.0,69.0,0.0,0.0,143.0,59.0,45.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
